code;location;registered;envelopes;valid;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
592013;Babice;1452;873;866;74;0;23;254;1;0;95;5;1;0;133;4
592021;Bánov;1707;1070;1063;71;1;11;293;1;0;148;6;0;0;156;2
592030;Bílovice;1473;1018;1008;90;0;28;264;0;2;147;4;3;1;92;35
592048;Bojkovice;3635;2183;2170;134;4;37;612;0;3;208;16;1;3;322;12
592064;Boršice;1788;1141;1131;95;0;33;279;2;0;199;4;1;1;108;3
592056;Boršice u Blatnice;660;407;404;25;1;9;95;0;2;73;1;1;0;39;1
592072;Břestek;657;406;402;37;0;13;128;0;2;27;4;0;0;37;0
592081;Březolupy;1359;881;877;80;0;24;189;0;2;87;22;1;1;112;11
592099;Březová;827;442;439;19;0;3;128;0;2;59;1;0;1;80;1
592102;Buchlovice;2085;1333;1320;123;0;38;358;1;3;129;5;1;1;131;8
592111;Bystřice pod Lopeníkem;663;428;423;25;0;2;105;0;2;40;1;1;1;81;3
592137;Částkov;308;197;195;10;1;1;64;0;0;26;4;0;0;38;0
592145;Dolní Němčí;2464;1474;1469;95;0;35;384;1;0;235;6;3;6;206;11
592153;Drslavice;431;308;307;15;0;8;61;0;0;87;1;0;0;54;7
592170;Hluk;3503;2188;2171;157;3;50;560;1;4;322;7;3;2;306;11
592188;Horní Němčí;681;434;434;21;1;7;105;0;1;42;10;0;2;82;4
592196;Hostějov;36;33;33;2;0;3;2;0;0;12;1;0;0;1;0
550736;Hostětín;192;137;136;10;0;2;24;0;0;36;2;0;0;12;0
592200;Hradčovice;810;570;564;27;0;20;137;0;0;149;4;0;2;59;54
592218;Huštěnovice;793;535;531;44;1;8;172;0;3;62;3;0;2;71;2
592226;Jalubí;1452;868;864;48;0;14;289;0;0;104;3;1;7;83;3
592234;Jankovice;380;243;243;18;1;6;83;0;1;14;1;0;1;37;0
592269;Kněžpole;886;632;627;44;0;11;180;0;1;125;2;5;0;57;1
592277;Komňa;449;326;324;16;0;2;74;0;0;17;2;0;1;31;7
592285;Korytná;783;493;492;22;1;16;155;0;0;51;6;0;0;57;4
592293;Kostelany nad Moravou;749;476;473;37;0;8;139;0;2;68;1;0;1;68;1
592307;Košíky;334;201;201;18;0;3;57;0;0;16;0;0;0;35;1
592323;Kudlovice;788;492;490;45;0;20;146;1;0;39;1;3;0;73;1
550744;Kunovice;4489;2776;2760;234;6;73;754;2;2;302;16;4;2;322;12
592340;Lopeník;190;106;104;7;0;5;25;0;1;4;1;0;0;14;0
592366;Medlovice;384;230;227;16;1;6;60;0;1;24;1;0;1;32;9
592382;Mistřice;926;583;580;30;0;12;169;0;0;95;7;0;1;64;1
592391;Modrá;570;398;396;33;1;22;91;0;0;100;3;0;0;34;1
592404;Nedachlebice;650;446;441;25;0;2;92;0;0;99;3;1;1;60;2
592412;Nedakonice;1271;824;819;65;0;25;230;2;1;94;4;1;1;83;6
592421;Nezdenice;622;413;412;34;3;4;101;0;1;34;40;0;1;40;1
592439;Nivnice;2685;1773;1761;126;0;23;415;0;4;296;9;1;2;205;9
592447;Ořechov;590;378;377;31;0;15;97;0;0;69;3;0;2;38;0
592455;Ostrožská Lhota;1212;791;788;43;0;16;214;0;1;176;8;3;0;78;4
592463;Ostrožská Nová Ves;2813;1781;1770;141;2;44;473;2;2;236;8;5;1;245;9
592471;Osvětimany;707;434;429;24;0;13;103;1;1;26;8;0;1;58;65
592480;Pašovice;594;397;397;32;1;4;141;0;0;49;3;3;0;56;1
592498;Pitín;745;464;463;37;0;7;87;0;1;102;4;0;0;55;2
592501;Podolí;694;420;417;32;0;13;120;0;0;35;4;0;0;50;6
592510;Polešovice;1616;1037;1032;70;3;26;276;0;3;137;3;1;2;93;4
592528;Popovice;863;589;586;48;1;16;150;1;2;96;0;2;1;55;7
592536;Prakšice;813;561;561;51;0;13;133;0;0;123;6;2;0;72;3
592552;Rudice;374;245;245;23;0;3;56;0;0;18;9;1;0;34;4
592561;Salaš;327;206;203;12;0;5;53;0;0;22;2;0;1;30;2
592579;Slavkov;551;326;325;14;0;9;122;0;1;14;1;0;0;41;5
592587;Staré Hutě;116;81;81;9;0;4;15;0;0;5;0;0;0;8;4
550752;Staré Město;5448;3536;3499;318;2;92;796;2;4;553;18;6;3;425;16
592609;Starý Hrozenkov;715;444;439;30;0;24;130;0;1;64;1;2;1;72;1
592617;Strání;2916;1656;1640;68;5;19;332;0;3;528;6;2;0;209;24
592625;Stříbrnice;349;217;216;22;0;7;49;0;0;14;2;0;2;21;2
592633;Stupava;140;110;103;8;0;2;34;0;0;3;0;0;0;15;2
592641;Suchá Loz;876;592;590;20;0;8;134;0;0;77;1;0;0;60;2
592650;Sušice;502;352;350;23;0;8;119;1;0;28;3;0;0;51;3
592668;Svárov;213;140;139;10;0;3;31;0;0;30;0;0;2;10;2
592676;Šumice;1353;869;865;71;1;18;219;0;1;209;8;2;0;92;6
592692;Topolná;1342;862;857;81;0;11;212;0;0;155;10;2;3;90;3
592706;Traplice;956;584;582;38;2;22;172;1;4;58;2;0;1;67;5
592714;Tučapy;199;123;121;5;0;5;31;0;0;16;0;0;0;19;1
592722;Tupesy;898;560;557;49;0;13;156;1;1;76;2;0;1;77;4
592005;Uherské Hradiště;20799;12977;12903;1 353;15;535;3 166;3;11;1 087;113;21;12;1 228;61
592731;Uherský Brod;13772;8539;8501;720;3;249;2 153;6;12;1 144;76;8;10;1 143;61
592749;Uherský Ostroh;3596;2158;2139;186;1;70;546;3;3;274;10;1;2;282;19
592757;Újezdec;185;108;108;11;0;2;35;0;1;12;0;0;0;21;2
592773;Vápenice;168;113;112;4;0;3;22;0;0;27;1;0;0;24;0
592781;Vážany;345;240;234;14;0;6;66;0;0;42;1;0;0;28;3
592790;Velehrad;993;605;602;44;2;19;128;0;0;134;4;0;1;48;2
592803;Veletiny;458;332;332;17;0;12;54;0;0;67;3;1;2;43;10
592820;Vlčnov;2481;1618;1607;123;2;46;372;1;6;222;3;1;3;181;9
592838;Vyškovec;128;63;61;3;0;1;11;0;0;5;0;0;1;16;0
592846;Záhorovice;878;538;535;42;0;5;153;0;0;57;4;0;2;81;7
592854;Zlámanec;250;163;163;8;0;1;48;0;1;34;2;0;0;17;4
592862;Zlechov;1351;834;828;80;0;12;276;1;2;94;4;0;0;90;1
592871;Žítková;140;94;93;7;0;3;22;0;0;15;2;0;0;13;1
592871;Žítková;140;94;93;7;0;3;22;0;0;15;2;0;0;13;1
